Anno;Cod_Azienda;Specie_Vegetale;PLT;PLV;PRA;PTA;Provincia;Regione;SAU;Biologica;SAU_Irrigata;KW_Macchine;avg_year;min_avg_year;max_avg_year;min_min_year;min_max_year;max_min_year;max_max_year;tot_prec_year;Tipo_Certificazione;max_irrigate;Produzione;Sum_Spesa_Distribuita;CAPITALE_FISSO;CAPITALE_CIRCOLANTE;PATRIMONIO_NETTO;CAPITALE_NETTO_TOTALE;LIQUIDITA_IMMEDIATE;UTILE_PERDITA_ESERCIZIO;Sum_Quantit�_azoto;Sum_Quantit�_fosforo;Sum_Quantit�_potassio;Sum_Valore_del_distribuito;lavoro_dipendente_ore_uomo;lavoro_dipendente_ore_macchina;lavoro_dipendente_ul;lavoro_famigliare_ore_uomo;lavoro_famigliare_ore_macchina
2019;2302018003508000001;Melo;27638;27638;0;0;Sondrio;Lombardia;2,95;N;0;109;4,478325002;-0,146186583;8,827401714;-25,22740354;15,85178726;-12,19442717;29,37231851;1610,536647;;0;1380;3273;49568;33894;83462;82742;33818;12720;540,62;540,62;540,62;653;0;0;0;2200;0
2019;2302018003509000001;Melo;12824;12824;0;0;Sondrio;Lombardia;3,26;N;0;73;4,367827842;-0,246666401;8,710495499;-25,27838262;15,76252891;-12,2823378;29,24142126;1608,922728;;0;640;2129;6723;22327;29050;31127;22234;3923;261,89;261,89;261,89;400;0;0;0;2200;0
2019;2302018003510000001;Melo;17089;17089;0;0;Sondrio;Lombardia;2,64;N;0;70;4,118731687;-0,445381145;8,430099293;-25,58951769;15,637057;-12,95803066;28,90580751;1546,717599;;0;776;1700;14766;6213;20979;13470;6152;7509;309,22;309,22;309,22;522;0;0;0;2200;0
2019;2302018003511000001;Melo;11890;11890;0;0;Sondrio;Lombardia;4,47;N;0;50;4,40921584;-0,136833637;8,704987931;-23,32885176;15,18246972;-10,51292444;28,96928321;1733,006797;;0;700;3695;1938;2300;2983;12500;0;-9517;1058,83;1058,83;1058,83;1243;0;0;0;2200;0
2019;2302018003512000001;Melo;28032;28032;0;0;Sondrio;Lombardia;2,79;N;0;55;4,098024096;-0,4636545;8,408224478;-25,60850911;15,63510706;-13,00198562;28,88178417;1543,081051;;0;850;1800;0;17816;17816;3263;17672;20790;145;145;145;300;0;0;0;2200;0
2019;2302018004975000001;Melo;33184;33184;0;0;Sondrio;Lombardia;3,18;N;0;141;4,861336753;0,208252058;9,227446622;-25,03711714;16,15747623;-11,94736398;29,82026201;1605,030675;;0;1106;4686;86523;605;51218;39566;0;11652;1169,09;1169,09;1169,09;2544;0;0;0;2520;0
2019;2302018004976000001;Melo;3312;3312;0;0;Sondrio;Lombardia;1,45;N;0;116;4,416064828;-0,163900707;8,731422388;-23,76645183;15,29778018;-10,93375808;29,11889352;1736,559365;;0;160;1207;14938;2475;17413;19199;2233;-1786;180,72;180,72;180,72;229;0;0;0;2200;0
2019;2302018004977000001;Melo;17039;17039;0;0;Sondrio;Lombardia;3,37;N;0;86;4,415847653;-0,171563109;8,735023536;-23,84741529;15,32629969;-11,02813874;29,14746877;1718,904565;;0;850;3500;3687;28267;31592;38203;28206;389;331,09;331,09;331,09;500;0;0;0;2320;0
2019;2412008002591000001;Melo;3973;3973;0;0;Trento;Trentino;4,46;N;4,31;110;10,61379032;6,996953964;14,11497675;-7,674014648;21,98641344;0,21799917;31,60103883;1708,252211;;1;172,74;542;1029514;139910;1167122;1211936;98104;24077;4,67;5,84;7,01;120;174;0;0,1;2805;0
2019;2412008002596000001;Melo;80616;80616;0;0;Trento;Trentino;7,85;N;7,85;200;10,48888169;6,842992835;14,01402926;-7,885684554;21,85612033;0,094468728;31,54459934;1704,047273;;1;4030,8;15087;2057810;275358;2331332;3009013;194096;35536;488,95;172,38;581,48;4362;0;0;0;3724;0
2019;2412008002604000001;Melo;23860;23860;0;0;Trento;Trentino;4,54;N;2,18;44;9,410780493;5,46757796;13,10772914;-11,35192835;21,24072941;-1,284939424;30,66930891;1821,100725;Denominazioni di Origine Protetta (DOP);1;954,4;2552;456898;172494;619033;902032;121886;1052;99,59;54,06;145,08;656;605;0;0,34;2135;0
2019;2412008002746000001;Melo;180000;180000;0;0;Trento;Trentino;7;N;6,5;159;7,375930811;2,829077409;11,50865966;-18,40616076;19,01103182;-5,147220721;30,13985393;1636,963099;Denominazioni di Origine Protetta (DOP);1;5000;8923;631808;188288;818162;1687567;2623;96208;810;810;810;8040;1550;0;0,86;2800;0
2019;2412008002747000001;Melo;117000;117000;0;0;Trento;Trentino;7,5;N;7,5;124;7,697258716;3,264863861;11,71765694;-17,84023729;19,78617542;-5,341571841;29,82941364;1763,432538;Denominazioni di Origine Protetta (DOP);1;3000;5404;881255;185458;1064563;1858041;56981;53294;600;600;600;6400;1850;0;1,03;2960;0
2019;2412008002749000001;Melo;204000;204000;0;0;Trento;Trentino;7,8;N;6,3;173;7,383888967;2,837448772;11,51672063;-18,39119236;19,02041361;-5,133812092;30,14879528;1635,902995;Denominazioni di Origine Protetta (DOP);1;5100;12404;1164833;1142006;2286943;2214645;923179;73798;1340;1340;1340;10760;1620;0;0,9;5300;0
2019;2412008002755000001;Melo;44850;44850;0;0;Trento;Trentino;2,7;N;2,7;68;7,976040426;3,353577175;12,16175084;-17,57694618;19,33144541;-4,440821714;30,97811879;1596,300307;Denominazioni di Origine Protetta (DOP);1;1150;2484;630695;247558;877521;862345;200259;16476;300;300;300;2500;370;0;0,21;3450;0
